co,no,no2,o3,so2,pm2_5,pm10,nh3,temp,humidity,wind_speed,uv_index,precip,timestamp,hri,predicted_hri,error_pct,metric
504.1,0.72,8.07,150.26,27.78,131.64,168.18,0.01,30.14,42,3.09,3,0,11-02-2026 06:00,303.97,0,0,Unhealthy
511.56,0.57,6.86,172.48,27.81,139.72,176.51,0.06,31.14,40,4.12,3,0,11-02-2026 07:00,323.11,0,0,Unhealthy
503.31,0.22,3.63,212.07,27.09,154.73,191.68,0.09,33.03,38,5.14,3,0,11-02-2026 09:00,256.55,0,0,Unhealthy
490.91,0.16,3.08,222.2,26.14,156.1,195.02,0.07,31.14,45,4.12,3,0,11-02-2026 10:00,362.74,0,0,Severe
453.1,0.07,3.55,216.57,22.01,144.58,189.42,0,30.14,48,4.63,3,0,11-02-2026 12:00,341.37,0,0,Unhealthy
465.56,0.02,3.97,216.76,22.47,149.89,194.64,0,28.57,56,3.6,3,0,11-02-2026 13:00,352.15,0,0,Severe
416.78,0,2.86,189.97,19.25,126.1,170.58,0,28.03,57,2.57,3,0,11-02-2026 15:00,299.98,0,0,Unhealthy
403.55,0,2.57,174.02,17.14,109.58,150.8,0,27.03,65,1.54,3,0,11-02-2026 17:00,286.82,0,0,Unhealthy
429.67,0,3.2,159.01,17.74,99.66,135,0.15,27.03,61,1.54,3,0,11-02-2026 19:00,260.45,0,0,Unhealthy
462.44,0,4.2,138.43,21.16,92.62,124.02,0.25,27.03,61,2.57,3,0,11-02-2026 21:00,220.6,0,0,Poor
463.78,0,4.54,129.03,23.04,88.73,119.52,0.28,26.03,61,1.54,3,0,11-02-2026 22:00,230.49,0,0,Poor
451.84,0,4.62,121.41,24,84.79,115.13,0.35,25.03,69,1.54,3,0,11-02-2026 23:00,220.5,0,0,Poor
439.9,0,4.57,116.06,24.31,82.11,113.26,0.47,26.03,57,3.09,3,0,12-02-2026 00:00,196.24,0,0,Poor
457.02,0.04,5.9,102.79,24.23,84.35,115.33,1.28,26.03,61,0,3,0,12-02-2026 03:00,217.56,0,0,Poor
501.04,0.58,6.77,112.52,24.34,97.41,126.16,1.55,29.01,43,3.09,3,0,12-02-2026 05:00,226.24,0,0,Poor
516.19,0.3,3.36,157.74,21.3,124.55,149.66,1.37,34.03,26,4.63,3,0,12-02-2026 07:00,284.58,0,0,Unhealthy
504.38,0.13,1.75,183.08,17.57,142.08,163.66,1.27,31.14,44,5.14,3,0,12-02-2026 09:00,230.15,0,0,Poor
491.19,0.1,1.6,189.23,16.05,143.2,163.41,1.21,32.03,40,4.12,3,0,12-02-2026 10:00,323.96,0,0,Unhealthy
476.98,0.05,1.88,193.26,14.47,143.76,163.95,0.72,29.57,59,4.63,3,0,12-02-2026 12:00,325.77,0,0,Unhealthy
447.28,0.01,1.7,181.44,12.51,136.96,159.14,0.2,28.03,61,3.6,3,0,12-02-2026 13:00,311.09,0,0,Unhealthy
435.95,0,1.21,184.87,14.14,137.35,160.89,0.01,28.03,57,2.06,3,0,12-02-2026 15:00,312.74,0,0,Unhealthy
422.12,0,1.12,185.9,15.16,134.61,158.09,0,28.03,54,2.06,3,0,12-02-2026 16:00,307.34,0,0,Unhealthy
411.65,0,1.11,186.11,16.62,131.37,153.07,0.01,28.03,54,2.06,3,0,12-02-2026 18:00,300.16,0,0,Unhealthy
423,0,1.22,184.47,17.83,132.02,153.07,0.06,27.03,54,1.54,3,0,12-02-2026 19:00,328.35,0,0,Unhealthy
495.41,0,1.72,177.24,22.23,139.02,161.51,0.39,27.03,54,0,3,0,12-02-2026 21:00,343.58,0,0,Unhealthy
546.82,0,2.12,172.52,26.03,144.39,168.86,0.58,26.03,61,0,3,0,12-02-2026 22:00,355.78,0,0,Severe
589.12,0,2.5,166.61,29.43,148.22,173.07,0.64,25.03,57,1.54,3,0,12-02-2026 23:00,363.69,0,0,Severe
620.12,0,2.82,159.8,31.75,150.33,175.33,0.84,25.03,57,2.06,3,0,13-02-2026 00:00,336.31,0,0,Unhealthy
634.32,0.03,4.48,143.5,31.08,145.8,171.08,0.61,26.03,53,1.54,3,0,13-02-2026 03:00,355.95,0,0,Severe
594.32,0.44,5.33,166.88,29.13,145.32,167.93,0.15,29.03,42,3.6,3,0,13-02-2026 05:00,327.31,0,0,Unhealthy
