co,no,no2,o3,so2,pm2_5,pm10,nh3,temp,humidity,wind_speed,uv_index,precip,timestamp,hri,predicted_hri,error_pct,metric
140.66,,0.4,97.14,,23.59,30.73,,24.87,60,2.98,0.0,0.0,2026-03-01 01:00,64.9,0.0,0.0,Good
140.81,,0.45,96.92,,23.23,30.44,,24.87,60,2.98,0.0,0.0,2026-03-01 02:00,64.19,0.0,0.0,Good
140.7,,0.48,96.92,,23.23,30.44,,24.87,60,2.98,0.0,0.0,2026-03-01 03:00,64.2,0.0,0.0,Good
141.08,,0.52,96.66,,23.19,30.29,,24.18,63,2.83,0.0,0.0,2026-03-01 04:00,64.06,0.0,0.0,Good
142.0,,0.54,96.51,,22.63,29.81,,24.18,63,2.83,0.0,0.0,2026-03-01 05:00,62.95,0.0,0.0,Good
142.67,,0.58,96.47,,22.51,29.62,,24.18,63,2.83,0.0,0.0,2026-03-01 06:00,62.69,0.0,0.0,Good
144.62,,0.73,96.28,,22.5,29.68,,23.87,64,2.87,1.6,0.0,2026-03-01 07:00,62.73,0.0,0.0,Good
146.99,,0.92,99.07,,22.46,29.97,,23.87,64,2.87,3.0,0.0,2026-03-01 08:00,63.28,0.0,0.0,Good
149.82,,1.17,99.8,,23.91,31.07,,23.87,64,2.87,4.2,0.0,2026-03-01 09:00,66.24,0.0,0.0,Good
149.84,,1.27,102.1,,25.61,34.88,,26.06,56,2.36,5.2,0.0,2026-03-01 10:00,70.87,0.0,0.0,Good
149.84,,1.52,102.46,,26.72,36.08,,26.06,56,2.36,5.8,0.0,2026-03-01 11:00,73.27,0.0,0.0,Good
149.8,,1.94,103.59,,26.95,36.21,,26.06,56,2.36,6.0,0.0,2026-03-01 12:00,74.02,0.0,0.0,Good
147.13,,1.59,107.07,,28.04,37.44,,26.57,59,5.07,5.8,0.0,2026-03-01 13:00,57.84,0.0,0.0,Good
146.39,,1.28,108.48,,28.36,39.22,,26.57,59,5.07,5.2,0.0,2026-03-01 14:00,58.77,0.0,0.0,Good
145.63,,1.14,108.44,,28.85,41.72,,26.57,59,5.07,4.2,0.0,2026-03-01 15:00,59.92,0.0,0.0,Good
145.5,,1.14,107.96,,28.9,43.18,,26.46,58,4.77,3.0,0.0,2026-03-01 16:00,80.28,0.0,0.0,Moderate
145.59,,1.14,107.96,,28.9,44.1,,26.46,58,4.77,1.6,0.0,2026-03-01 17:00,80.65,0.0,0.0,Moderate
146.25,,1.15,106.91,,29.37,44.28,,26.46,58,4.77,0.0,0.0,2026-03-01 18:00,81.32,0.0,0.0,Moderate
146.76,,1.25,106.85,,29.15,43.99,,25.86,60,3.34,0.0,0.0,2026-03-01 19:00,80.88,0.0,0.0,Moderate
146.55,,1.42,106.89,,29.26,44.08,,25.86,60,3.34,0.0,0.0,2026-03-01 20:00,81.16,0.0,0.0,Moderate
146.65,,1.72,106.84,,29.23,44.08,,25.86,60,3.34,0.0,0.0,2026-03-01 21:00,81.22,0.0,0.0,Moderate
146.91,,1.96,105.97,,28.62,42.52,,25.47,62,2.79,0.0,0.0,2026-03-01 22:00,79.58,0.0,0.0,Moderate
146.87,,2.09,106.0,,28.6,41.43,,25.47,62,2.79,0.0,0.0,2026-03-01 23:00,79.16,0.0,0.0,Moderate
